# Game Session ID 
146 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    14:10:7 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -9.380000 18.274822 7.765560 	 -7.539998 18.274822 6.393904 	 -0.150000 18.274822 9.875799 	                    	                    	                    	                    	                    	
 -9.389999 18.180264 7.787460 	 -7.569998 18.180264 6.404742 	 -0.150000 18.180264 9.914717 	                    	                    	                    	                    	                    	
 -9.400000 18.085705 7.809160 	 -7.599998 18.085705 6.415380 	 -0.150000 18.085705 9.953435 	                    	                    	                    	                    	                    	
 -9.410000 17.991148 7.830659 	 -7.629998 17.991148 6.425818 	 -0.150000 17.991148 9.991953 	                    	                    	                    	                    	                    	
 -9.420000 17.896591 7.851959 	 -7.659997 17.896591 6.436056 	 -0.150000 17.896591 10.030271 	                    	                    	                    	                    	                    	
 -9.429999 17.802032 7.873058 	 -7.689998 17.802032 6.446094 	 -0.150000 17.802032 10.068388 	                    	                    	                    	                    	                    	
 -9.440000 17.707474 7.893958 	 -7.719997 17.707474 6.455932 	 -0.150000 17.707474 10.106306 	                    	                    	                    	                    	                    	
 -9.450000 17.612917 7.914658 	 -7.749998 17.612917 6.465570 	 -0.150000 17.612917 10.144024 	                    	                    	                    	                    	                    	
 -9.460000 17.518360 7.935158 	 -7.779997 17.518360 6.475008 	 -0.150000 17.518360 10.181541 	                    	                    	                    	                    	                    	
 -9.469999 17.423801 7.955457 	 -7.809998 17.423801 6.484246 	 -0.150000 17.423801 10.218859 	                    	                    	                    	                    	                    	
 -9.480000 17.329243 7.975557 	 -7.839997 17.329243 6.493284 	 -0.150000 17.329243 10.255977 	                    	                    	                    	                    	                    	
 -9.490000 17.234684 7.995457 	 -7.869998 17.234684 6.502122 	 -0.150000 17.234684 10.292894 	                    	                    	                    	                    	                    	
 -9.500000 17.140127 8.015157 	 -7.899997 17.140127 6.510760 	 -0.150000 17.140127 10.329613 	                    	                    	                    	                    	                    	
 -9.509999 17.045570 8.034657 	 -7.929997 17.045570 6.519198 	 -0.150000 17.045570 10.366130 	                    	                    	                    	                    	                    	
 -9.520000 16.951012 8.053956 	 -7.959997 16.951012 6.527436 	 -0.150000 16.951012 10.402448 	                    	                    	                    	                    	                    	
 -9.530000 16.856453 8.073055 	 -7.989997 16.856453 6.535474 	 -0.150000 16.856453 10.438565 	                    	                    	                    	                    	                    	
 -9.540000 16.761896 8.091955 	 -8.019998 16.761896 6.543312 	 -0.150000 16.761896 10.474483 	                    	                    	                    	                    	                    	
 -9.549999 16.667339 8.110655 	 -8.049997 16.667339 6.550950 	 -0.150000 16.667339 10.510201 	                    	                    	                    	                    	                    	
 -9.559999 16.572781 8.129154 	 -8.079997 16.572781 6.558387 	 -0.150000 16.572781 10.545719 	                    	                    	                    	                    	                    	
 -9.570000 16.478222 8.147454 	 -8.109997 16.478222 6.565626 	 -0.150000 16.478222 10.581037 	                    	                    	                    	                    	                    	
 -9.580000 16.383663 8.165554 	 -8.139997 16.383663 6.572663 	 -0.150000 16.383663 10.616155 	                    	                    	                    	                    	                    	
 -9.589999 16.289106 8.183454 	 -8.169997 16.289106 6.579501 	 -0.150000 16.289106 10.651073 	                    	                    	                    	                    	                    	
 -9.599999 16.194550 8.201154 	 -8.199997 16.194550 6.586139 	 -0.150000 16.194550 10.685790 	                    	                    	                    	                    	                    	
 -9.610000 16.099991 8.218653 	 -8.229997 16.099991 6.592577 	 -0.150000 16.099991 10.720307 	                    	                    	                    	                    	                    	
 -9.620000 16.005432 8.235953 	 -8.259997 16.005432 6.598815 	 -0.150000 16.005432 10.754625 	                    	                    	                    	                    	                    	
 -9.629999 15.910875 8.253053 	 -8.289997 15.910875 6.604853 	 -0.150000 15.910875 10.788743 	                    	                    	                    	                    	                    	
 -9.639999 15.816318 8.269952 	 -8.319997 15.816318 6.610691 	 -0.150000 15.816318 10.822660 	                    	                    	                    	                    	                    	
 -9.650000 15.721760 8.286652 	 -8.349997 15.721760 6.616329 	 -0.150000 15.721760 10.856379 	                    	                    	                    	                    	                    	
 -9.660000 15.627201 8.303151 	 -8.379997 15.627201 6.621767 	 -0.150000 15.627201 10.889896 	                    	                    	                    	                    	                    	
 -9.669999 15.532643 8.319451 	 -8.409997 15.532643 6.627005 	 -0.150000 15.532643 10.923214 	                    	                    	                    	                    	                    	
 -9.679999 15.438086 8.335551 	 -8.439997 15.438086 6.632043 	 -0.150000 15.438086 10.956332 	                    	                    	                    	                    	                    	
 -9.690000 15.343528 8.351451 	 -8.469996 15.343528 6.636881 	 -0.150000 15.343528 10.989249 	                    	                    	                    	                    	                    	
 -9.700000 15.248970 8.367150 	 -8.499997 15.248970 6.641519 	 -0.150000 15.248970 11.021968 	                    	                    	                    	                    	                    	
 -9.709999 15.154412 8.382650 	 -8.529997 15.154412 6.645957 	 -0.150000 15.154412 11.054485 	                    	                    	                    	                    	                    	
 -9.719999 15.059855 8.397950 	 -8.559997 15.059855 6.650195 	 -0.150000 15.059855 11.086803 	                    	                    	                    	                    	                    	
 -9.730000 14.965297 8.413050 	 -8.589996 14.965297 6.654233 	 -0.150000 14.965297 11.118920 	                    	                    	                    	                    	                    	
 -9.740000 14.870739 8.427949 	 -8.619997 14.870739 6.658071 	 -0.150000 14.870739 11.150838 	                    	                    	                    	                    	                    	
 -9.749999 14.776180 8.442649 	 -8.649997 14.776180 6.661709 	 -0.150000 14.776180 11.182556 	                    	                    	                    	                    	                    	
 -9.759999 14.681623 8.457149 	 -8.679996 14.681623 6.665147 	 -0.150000 14.681623 11.214074 	                    	                    	                    	                    	                    	
 -9.770000 14.587065 8.471448 	 -8.709996 14.587065 6.668385 	 -0.150000 14.587065 11.245392 	                    	                    	                    	                    	                    	
 -9.780000 14.492507 8.485548 	 -8.739997 14.492507 6.671423 	 -0.150000 14.492507 11.276509 	                    	                    	                    	                    	                    	
 -9.789999 14.397949 8.499448 	 -8.769997 14.397949 6.674261 	 -0.150000 14.397949 11.307427 	                    	                    	                    	                    	                    	
 -9.799999 14.303391 8.513147 	 -8.799996 14.303391 6.676898 	 -0.150000 14.303391 11.338145 	                    	                    	                    	                    	                    	
 -9.809999 14.208834 8.526648 	 -8.829996 14.208834 6.679337 	 -0.150000 14.208834 11.368663 	                    	                    	                    	                    	                    	
 -9.820000 14.114276 8.539947 	 -8.859997 14.114276 6.681575 	 -0.150000 14.114276 11.398980 	                    	                    	                    	                    	                    	
 -9.829999 14.019718 8.553046 	 -8.889997 14.019718 6.683612 	 -0.150000 14.019718 11.429098 	                    	                    	                    	                    	                    	
 -9.839999 13.925159 8.565946 	 -8.919996 13.925159 6.685451 	 -0.150000 13.925159 11.459016 	                    	                    	                    	                    	                    	
 -9.849999 13.830603 8.578646 	 -8.949996 13.830603 6.687088 	 -0.150000 13.830603 11.488734 	                    	                    	                    	                    	                    	
 -9.860000 13.736044 8.591146 	 -8.979997 13.736044 6.688527 	 -0.150000 13.736044 11.518251 	                    	                    	                    	                    	                    	
 -9.869999 13.641487 8.603445 	 -9.009996 13.641487 6.689764 	 -0.150000 13.641487 11.547569 	                    	                    	                    	                    	                    	
