# Game Session ID 
169 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:58:19 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -11.020000 16.656830 7.830659 	 -4.760000 16.656830 6.425818 	 -4.279997 16.656830 9.991953 	                    	                    	                    	                    	                    	                    	                    	
 -11.040000 16.551767 7.851959 	 -4.770000 16.551767 6.436056 	 -4.309998 16.551767 10.030271 	                    	                    	                    	                    	                    	                    	                    	
 -11.060000 16.446703 7.873058 	 -4.780000 16.446703 6.446094 	 -4.339997 16.446703 10.068388 	                    	                    	                    	                    	                    	                    	                    	
 -11.080000 16.341639 7.893958 	 -4.789999 16.341639 6.455932 	 -4.369998 16.341639 10.106306 	                    	                    	                    	                    	                    	                    	                    	
 -11.100000 16.236574 7.914658 	 -4.800000 16.236574 6.465570 	 -4.399997 16.236574 10.144024 	                    	                    	                    	                    	                    	                    	                    	
 -11.120000 16.131510 7.935158 	 -4.809999 16.131510 6.475008 	 -4.429997 16.131510 10.181541 	                    	                    	                    	                    	                    	                    	                    	
 -11.140000 16.026445 7.955457 	 -4.820000 16.026445 6.484246 	 -4.459997 16.026445 10.218859 	                    	                    	                    	                    	                    	                    	                    	
 -11.160000 15.921381 7.975557 	 -4.829999 15.921381 6.493284 	 -4.489997 15.921381 10.255977 	                    	                    	                    	                    	                    	                    	                    	
 -11.180000 15.816317 7.995457 	 -4.840000 15.816317 6.502122 	 -4.519997 15.816317 10.292894 	                    	                    	                    	                    	                    	                    	                    	
 -11.200000 15.711252 8.015157 	 -4.849999 15.711252 6.510760 	 -4.549997 15.711252 10.329613 	                    	                    	                    	                    	                    	                    	                    	
 -11.220000 15.606188 8.034657 	 -4.860000 15.606188 6.519198 	 -4.579997 15.606188 10.366130 	                    	                    	                    	                    	                    	                    	                    	
 -11.240000 15.501124 8.053956 	 -4.869999 15.501124 6.527436 	 -4.609997 15.501124 10.402448 	                    	                    	                    	                    	                    	                    	                    	
 -11.260000 15.396060 8.073055 	 -4.880000 15.396060 6.535474 	 -4.639997 15.396060 10.438565 	                    	                    	                    	                    	                    	                    	                    	
 -11.280000 15.290996 8.091955 	 -4.889999 15.290996 6.543312 	 -4.669997 15.290996 10.474483 	                    	                    	                    	                    	                    	                    	                    	
 -11.300000 15.185931 8.110655 	 -4.900000 15.185931 6.550950 	 -4.699997 15.185931 10.510201 	                    	                    	                    	                    	                    	                    	                    	
 -11.320000 15.080867 8.129154 	 -4.909999 15.080867 6.558387 	 -4.729997 15.080867 10.545719 	                    	                    	                    	                    	                    	                    	                    	
 -11.340000 14.975802 8.147454 	 -4.920000 14.975802 6.565626 	 -4.759997 14.975802 10.581037 	                    	                    	                    	                    	                    	                    	                    	
 -11.360000 14.870738 8.165554 	 -4.929999 14.870738 6.572663 	 -4.789997 14.870738 10.616155 	                    	                    	                    	                    	                    	                    	                    	
 -11.380000 14.765674 8.183454 	 -4.940000 14.765674 6.579501 	 -4.819997 14.765674 10.651073 	                    	                    	                    	                    	                    	                    	                    	
 -11.400000 14.660609 8.201154 	 -4.949999 14.660609 6.586139 	 -4.849997 14.660609 10.685790 	                    	                    	                    	                    	                    	                    	                    	
 -11.420000 14.555546 8.218653 	 -4.960000 14.555546 6.592577 	 -4.879997 14.555546 10.720307 	                    	                    	                    	                    	                    	                    	                    	
